Country,Population,Yearly  change,Yearly Change,Migrants(net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop ,Urban Population,Country's Share of World pop,World Population,Global Rank,"Land Area
(Km²)"
China,"1,427,647,786",0.47,"6,625,995","-348,399",37,1.65,152,58.6,"837,022,095",18.71,"7,631,091,040",1,"9,388,211"
India,"1,352,642,280",1.04,"13,965,495","-532,687",27.1,2.36,455,34.1,"460,779,764",17.73,"7,631,091,040",2,"2,973,190"
United States,"327,096,265",0.62,"2,011,509","954,806",37.7,1.85,36,82.2,"268,786,714",4.29,"7,631,091,040",3,"9,147,420"
Indonesia,"267,670,543",1.14,"3,019,580","-98,955",28.8,2.42,148,55.1,"147,603,006",3.51,"7,631,091,040",4,"1,811,570"
Pakistan,"212,228,286",2.08,"4,322,077","-233,379",22,3.73,275,34.7,"73,630,430",2.78,"7,631,091,040",5,"770,880"
Brazil,"209,469,323",0.79,"1,635,500","21,200",31.8,1.76,25,87.1,"182,546,459",2.74,"7,631,091,040",6,"8,358,140"
Nigeria,"195,874,683",2.62,"5,001,439","-60,000",17.9,5.67,215,50.3,"98,610,801",2.57,"7,631,091,040",7,"910,770"
Bangladesh,"161,376,708",1.06,"1,691,284","-369,501",26.1,2.18,"1,240",37.8,"60,944,245",2.11,"7,631,091,040",8,"130,170"
Russia,"145,734,038",0.14,"203,956","182,456",38.8,1.72,9,73.5,"107,156,855",1.91,"7,631,091,040",9,"16,376,870"
Mexico,"126,190,788",1.13,"1,413,464","-60,000",28,2.26,65,83.1,"104,811,498",1.65,"7,631,091,040",11,"1,943,950"
Japan,"127,202,192",-0.24,"-300,533","71,560",46.7,1.4,349,91.6,"116,521,525",1.67,"7,631,091,040",10,"364,555"
Ethiopia,"109,224,414",2.65,"2,824,490","30,000",18.6,4.73,109,20.4,"22,327,769",1.43,"7,631,091,040",12,"1,000,000"
