Country,Population,Yearly change,Yearly Change,Migrants(net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop,Urban Population,Country's Share of World pop,World Population,Global Rank,"Land Area
 (Km²)"
China,"1,439,323,776",0.39,"5,540,090","-348,399",38,1.7,153,61,"875,075,919",18.47,"7,631,091,040",1,"9,388,211"
India,"1,380,004,385",0.99,"13,586,631","-532,687",28,2.2,464,35,"483,098,640",17.7,"7,631,091,040",2,"2,973,190"
United States,"331,002,651",0.59,"1,937,734","954,806",38,1.8,36,83,"273,975,139",4.25,"7,631,091,040",3,"9,147,420"
Indonesia,"273,523,615",1.07,"2,898,047","-98,955",30,2.3,151,56,"154,188,546",3.51,"7,631,091,040",4,"1,811,570"
Pakistan,"220,892,340",2,"4,327,022","-233,379",23,3.6,287,35,"77,437,729",2.83,"7,631,091,040",5,"770,880"
Brazil,"212,559,417",0.72,"1,509,890","21,200",33,1.7,25,88,"186,217,070",2.73,"7,631,091,040",6,"8,358,140"
Nigeria,"206,139,589",2.58,"5,175,990","-60,000",18,5.4,226,52,"107,112,526",2.64,"7,631,091,040",7,"910,770"
Bangladesh,"164,689,383",1.01,"1,643,222","-369,501",28,2.1,"1,265",39,"64,814,953",2.11,"7,631,091,040",8,"130,170"
Russia,"145,934,462",0.04,"62,206","182,456",40,1.8,9,74,"107,486,269",1.87,"7,631,091,040",9,"16,376,870"
Mexico,"128,932,753",1.06,"1,357,224","-60,000",29,2.1,66,84,"108,074,410",1.65,"7,631,091,040",10,"1,943,950"
Japan,"126,476,461",-0.3,"-383,840","71,560",48,1.4,347,92,"116,099,672",1.62,"7,631,091,040",11,"364,555"
Ethiopia,"114,963,588",2.57,"2,884,858","30,000",19,4.3,115,21,"24,463,423",1.47,"7,631,091,040",12,"1,000,000"
Philippines,"109,581,078",1.35,"1,464,463","-67,152",26,2.6,368,47,"52,008,603",1.41,"7,631,091,040",13,"298,170"
Egypt,"102,334,404",1.94,"1,946,331","-38,033",25,3.3,103,43,"44,041,052",1.31,"7,631,091,040",14,"995,450"
Vietnam,"97,338,579",0.91,"876,473","-80,000",32,2.1,314,38,"36,727,248",1.25,"7,631,091,040",15,"310,070"
DR Congo,"89,561,403",3.19,"2,770,836","23,861",17,6,40,46,"40,848,447",1.15,"7,631,091,040",16,"2,267,050"
Turkey,"84,339,067",1.09,"909,452","283,922",32,2.1,110,76,"63,803,445",1.08,"7,631,091,040",17,"769,630"
Iran,"83,992,949",1.3,"1,079,043","-55,000",32,2.2,52,76,"63,420,504",1.08,"7,631,091,040",18,"1,628,550"
Germany,"83,783,942",0.32,"266,897","543,822",46,1.6,240,76,"63,930,305",1.07,"7,631,091,040",19,"348,560"
Thailand,"69,799,978",0.25,"174,396","19,444",40,1.5,137,51,"35,698,325",0.9,"7,631,091,040",20,"510,890"
United Kingdom,"67,886,011",0.53,"355,839","260,650",40,1.8,281,83,"56,495,180",0.87,"7,631,091,040",21,"241,930"
France,"65,273,511",0.22,"143,783","36,527",42,1.9,119,82,"53,217,966",0.84,"7,631,091,040",22,"547,557"
Italy,"60,461,826",-0.15,"-88,249","148,943",47,1.3,206,69,"42,006,701",0.78,"7,631,091,040",23,"294,140"
Tanzania,"59,734,218",2.98,"1,728,755","-40,076",18,4.9,67,37,"22,113,353",0.77,"7,631,091,040",24,"885,800"
South Africa,"59,308,690",1.28,"750,420","145,405",28,2.4,49,67,"39,550,889",0.76,"7,631,091,040",25,"1,213,090"
Myanmar,"54,409,800",0.67,"364,380","-163,313",29,2.2,83,31,"17,068,066",0.7,"7,631,091,040",26,"653,290"
Kenya,"53,771,296",2.28,"1,197,323","-10,000",20,3.5,94,28,"14,975,059",0.69,"7,631,091,040",27,"569,140"
South Korea,"51,269,185",0.09,"43,877","11,731",44,1.1,527,82,"41,934,110",0.66,"7,631,091,040",28,"97,230"
Colombia,"50,882,891",1.08,"543,448","204,796",31,1.8,46,80,"40,891,996",0.65,"7,631,091,040",29,"1,109,500"
Spain,"46,754,778",0.04,"18,002","40,000",45,1.3,94,80,"37,543,537",0.6,"7,631,091,040",30,"498,800"
Uganda,"45,741,007",3.32,"1,471,413","168,694",17,5,229,26,"11,775,012",0.59,"7,631,091,040",31,"199,810"
Argentina,"45,195,774",0.93,"415,097","4,800",32,2.3,17,93,"41,919,857",0.58,"7,631,091,040",32,"2,736,690"
Algeria,"43,851,044",1.85,"797,990","-10,000",29,3.1,18,73,"31,950,910",0.56,"7,631,091,040",33,"2,381,740"
Sudan,"43,849,260",2.42,"1,036,022","-50,000",20,4.4,25,35,"15,349,424",0.56,"7,631,091,040",34,"1,765,048"
Ukraine,"43,733,762",-0.59,"-259,876","10,000",41,1.4,75,69,"30,334,632",0.56,"7,631,091,040",35,"579,320"
Iraq,"40,222,493",2.32,"912,710","7,834",21,3.7,93,73,"29,422,695",0.52,"7,631,091,040",36,"434,320"
Afghanistan,"38,928,346",2.33,"886,592","-62,920",18,4.6,60,25,"9,904,337",0.5,"7,631,091,040",37,"652,860"
Poland,"37,846,611",-0.11,"-41,157","-29,395",42,1.4,124,60,"22,781,639",0.49,"7,631,091,040",38,"306,230"
Canada,"37,742,154",0.89,"331,107","242,032",41,1.5,4,81,"30,670,064",0.48,"7,631,091,040",39,"9,093,510"
Morocco,"36,910,560",1.2,"438,791","-51,419",30,2.4,83,64,"23,551,599",0.47,"7,631,091,040",40,"446,300"
Saudia Arabia,"34,813,871",1.59,"545,343","134,979",32,2.3,16,84,"29,255,576",0.45,"7,631,091,040",41,"2,149,690"
Uzbekistan,"33,469,203",1.48,"487,487","-8,863",28,2.4,79,50,"16,756,329",0.43,"7,631,091,040",42,"425,400"
Peru,"32,971,854",1.42,"461,401","99,069",31,2.3,26,79,"26,082,479",0.42,"7,631,091,040",43,"1,280,000"
Angola,"32,866,272",3.27,"1,040,977","6,413",17,5.6,26,67,"21,936,953",0.42,"7,631,091,040",44,"1,246,700"
Malaysia,"32,365,999",1.3,"416,222","50,000",30,2,99,78,"25,361,963",0.42,"7,631,091,040",45,"328,550"
Mozambique,"31,255,435",2.93,"889,399","-5,000",18,4.9,40,38,"11,978,439",0.4,"7,631,091,040",46,"786,380"
Ghana,"31,072,940",2.15,"655,084","-10,000",22,3.9,137,57,"17,625,567",0.4,"7,631,091,040",47,"227,540"
Yemen,"29,825,964",2.28,"664,042","-30,000",20,3.8,56,38,"11,465,414",0.38,"7,631,091,040",48,"527,970"
Nepal,"29,136,808",1.85,"528,098","41,710",25,1.9,203,21,"6,226,233",0.37,"7,631,091,040",49,"143,350"
Venezuela,"28,435,940",-0.28,"-79,889","-653,249",30,2.3,32,V,N.A.,0.36,"7,631,091,040",50,"882,050"
Madagascar,"27,691,018",2.68,"721,711","-1,500",19.6,4.11,48,38.5,"10,670,252",0.36,"7,794,798,739",51,"581,795"
Cameroon,"26,545,863",2.59,"669,483","-4,800",18.7,4.6,56,56.3,"14,941,523",0.34,"7,794,798,739",52,"472,710"
Côte d'Ivoire,"26,378,274",2.57,"661,730","-8,000",18.9,4.68,83,51.3,"13,532,312",0.34,"7,794,798,739",53,"318,000"
North Korea,"25,778,816",0.44,"112,655","-5,403",35.3,1.91,214,62.5,"16,119,904",0.33,"7,794,798,739",54,"120,410"
Australia,"25,499,884",1.18,"296,686","158,246",37.9,1.83,3,85.9,"21,903,705",0.33,"7,794,798,739",55,"7,682,300"
Niger,"24,206,644",3.84,"895,929","4,000",15.2,6.95,19,16.5,"4,002,638",0.31,"7,794,798,739",56,"1,266,700"
Taiwan,"23,816,775",0.18,"42,899","30,001",42.5,1.15,673,78.9,"18,802,314",0.31,"7,794,798,739",57,"35,410"
Sri Lanka,"21,413,249",0.42,"89,516","-97,986",34,2.21,341,18.4,"3,945,488",0.27,"7,794,798,739",58,"62,710"
Burkina Faso,"20,903,273",2.86,"581,895","-25,000",17.6,5.23,76,30.6,"6,397,911",0.27,"7,794,798,739",59,"273,600"
Mali,"20,250,833",3.02,"592,802","-40,000",16.3,5.92,17,44,"8,906,636",0.26,"7,794,798,739",60,"1,220,190"
Romania,"19,237,691",-0.66,"-126,866","-73,999",43.2,1.62,84,54.6,"10,507,365",0.25,"7,794,798,739",61,"230,170"
Malawi,"19,129,952",2.69,"501,205","-16,053",18.1,4.25,203,18.5,"3,534,836",0.25,"7,794,798,739",62,"94,280"
Chile,"19,116,201",0.87,"164,163","111,708",35.3,1.65,26,84.8,"16,205,574",0.25,"7,794,798,739",63,"743,532"
Kazakhstan,"18,776,707",1.21,"225,280","-18,000",30.7,2.76,7,57.7,"10,828,881",0.24,"7,794,798,739",64,"2,699,700"
Zambia,"18,383,955",2.93,"522,925","-8,000",17.6,4.66,25,45.3,"8,336,381",0.24,"7,794,798,739",65,"743,390"
Guatemala,"17,915,568",1.9,"334,096","-9,215",22.9,2.9,167,51.8,"9,284,293",0.23,"7,794,798,739",66,"107,160"
Ecuador,"17,643,054",1.55,"269,392","36,400",27.9,2.44,71,63,"11,123,641",0.23,"7,794,798,739",67,"248,360"
Syria,"17,500,658",2.52,"430,523","-427,391",25.6,2.84,95,60,"10,498,283",0.22,"7,794,798,739",68,"183,630"
